,manufacturer,model,fuel,transmission,drive,type,size,cylinders
671,gmc,sierra,gas,manual,4wd,truck,full-size,8
672,mazda,sx4 se,gas,automatic,fwd,sedan,compact,4
681,infiniti,jx35,gas,automatic,fwd,SUV,full-size,6
683,toyota,camry xle,gas,automatic,fwd,sedan,full-size,4
691,ford,mustang gt coupe 2d,gas,other,rwd,coupe,full-size,8
700,lexus,es 330,gas,automatic,fwd,sedan,full-size,6
708,ram,1500 crew cab big horn,gas,other,rwd,pickup,full-size,8
711,ford,super duty f-250 srw,gas,automatic,4wd,pickup,full-size,8
712,rover,sport,gas,automatic,4wd,SUV,full-size,6
713,gmc,HUMMER H2,gas,automatic,4wd,SUV,full-size,8
727,ford,ranger,gas,manual,4wd,pickup,full-size,6
730,ram,1500 crew cab big horn,other,other,4wd,pickup,full-size,6
734,chevrolet,silverado 1500,gas,automatic,rwd,truck,full-size,8
735,ford,transit,gas,automatic,rwd,van,mid-size,6
736,chevrolet,express,gas,automatic,rwd,van,full-size,8
738,gmc,savana,gas,automatic,rwd,van,full-size,8
740,ford,transit connect,gas,automatic,fwd,van,full-size,4
742,ford,transit 150,gas,automatic,rwd,van,full-size,6
746,infiniti,qx 50 luxe,gas,manual,fwd,SUV,full-size,4
747,ram,1500,gas,automatic,4wd,pickup,full-size,8
760,gmc,yukon denali 4x4,gas,automatic,4wd,SUV,full-size,8
761,ford,e350,gas,automatic,rwd,pickup,full-size,8
764,honda,crosstour ex-l,gas,automatic,rwd,hatchback,full-size,8
765,chevrolet,silverado 2500 lt 4x4,diesel,automatic,4wd,truck,full-size,8
773,chevrolet,silverado 1500 regular,gas,other,rwd,pickup,full-size,8
779,mazda,3i,gas,automatic,fwd,sedan,mid-size,4
780,jeep,commander sport,gas,automatic,rwd,SUV,full-size,8
781,ram,1500 slt,gas,automatic,rwd,pickup,full-size,6
782,ram,1500 regular cab tradesman,gas,other,rwd,pickup,full-size,6
783,ford,super duty f-450 drw,gas,automatic,rwd,truck,full-size,10
784,chevrolet,express commercial cutaway,gas,automatic,rwd,truck,full-size,8
786,chevrolet,express cargo van,diesel,automatic,rwd,truck,full-size,8
787,gmc,Isuzu NPR HD GAS REG,gas,automatic,rwd,truck,full-size,8
788,ford,econoline cargo van,gas,automatic,rwd,truck,full-size,8
789,chevrolet,4500 lcf gas,gas,automatic,rwd,pickup,full-size,8
790,ford,super duty f-550 drw,diesel,automatic,4wd,truck,full-size,8
791,ford,econoline commercial cutaway,gas,automatic,rwd,truck,full-size,10
792,gmc,savana commercial cutaway,gas,automatic,rwd,truck,full-size,8
793,chevrolet,3500 lcf gas,gas,automatic,rwd,truck,full-size,8
794,gmc,Hino 268,diesel,automatic,rwd,truck,full-size,6
795,chevrolet,express cargo van,gas,automatic,rwd,truck,full-size,8
796,ford,super duty f-250,gas,automatic,4wd,pickup,full-size,8
797,ford,super duty f-450 drw,diesel,automatic,4wd,truck,full-size,8
798,gmc,International TerraStar,diesel,automatic,rwd,truck,full-size,8
799,chevrolet,cc4500,diesel,automatic,rwd,pickup,mid-size,8
800,chevrolet,cc4500,gas,automatic,rwd,truck,full-size,8
801,ford,econoline commercial cutaway,gas,automatic,rwd,truck,full-size,8
802,ford,super duty f-250 srw,diesel,automatic,4wd,pickup,full-size,8
804,mitsubishi,fuso fh211,diesel,manual,rwd,truck,full-size,4
805,chevrolet,express commercial cutaway,diesel,automatic,rwd,pickup,full-size,6
806,ford,transit cutaway,gas,automatic,rwd,pickup,full-size,6
807,gmc,Freightliner M2 106 Medium Duty,diesel,automatic,rwd,truck,full-size,6
809,mitsubishi,fuso fe145,diesel,automatic,rwd,truck,full-size,4
810,gmc,tc5500,diesel,automatic,rwd,pickup,full-size,8
812,ford,super duty f-250 srw,diesel,automatic,4wd,truck,full-size,8
813,ford,super duty f-350 srw,gas,automatic,4wd,pickup,full-size,8
814,ford,econoline commercial cutaway,gas,automatic,rwd,pickup,full-size,8
815,gmc,Blue Bird All American,diesel,automatic,rwd,bus,full-size,6
816,ram,4500,diesel,automatic,rwd,truck,full-size,6
817,ford,super duty f-550 drw,diesel,automatic,rwd,pickup,full-size,8
819,ford,super duty f-550 drw,diesel,automatic,4wd,pickup,full-size,8
820,ram,5500,diesel,automatic,4wd,truck,full-size,6
822,gmc,Isuzu NPR HD GAS CREW,gas,automatic,rwd,pickup,full-size,8
823,ford,econoline commercial cutaway,gas,automatic,rwd,pickup,full-size,10
824,gmc,Isuzu NPR,diesel,automatic,rwd,truck,full-size,4
826,ram,2500,gas,automatic,4wd,truck,full-size,8
827,chevrolet,cc4500,gas,automatic,4wd,truck,full-size,8
830,ford,super duty f-450 drw,gas,automatic,4wd,truck,full-size,10
831,ford,f-750,diesel,automatic,rwd,truck,full-size,6
832,gmc,Hino 268,diesel,automatic,rwd,pickup,full-size,6
854,gmc,Workhorse W42,gas,automatic,rwd,truck,full-size,8
855,ford,econoline,gas,automatic,rwd,truck,full-size,8
856,chevrolet,silverado 3500hd,gas,automatic,rwd,pickup,full-size,8
864,jeep,wrangler,gas,manual,4wd,pickup,full-size,4
865,jeep,gladiator,gas,automatic,4wd,SUV,mid-size,6
866,jeep,wrangler unlimited sahara,gas,automatic,4wd,SUV,mid-size,6
867,bmw,z4 sdrive35is roadster 2d,other,other,rwd,other,full-size,8
869,dodge,challenger,gas,automatic,rwd,coupe,full-size,8
870,ford,fusion,gas,automatic,fwd,sedan,full-size,4
871,jeep,wrangler,gas,manual,4wd,convertible,mid-size,6
872,infiniti,qx70,gas,automatic,rwd,SUV,full-size,6
873,mercedes-benz,m-class,gas,automatic,4wd,SUV,full-size,6
874,lexus,gx,gas,automatic,4wd,SUV,full-size,8
